,0
362other,1
362total161,1
363,1
363less,1
364,1
367,2
367general,1
367stock,2
368,5
369,3
369deferred,1
37,23
370,5
370gas,1
372,2
372____________________________________________,1
373,1
375,4
376,1
377,1
378,5
378cash,1
379,2
379accumulated,1
37current,1
37our,1
38,11
380,3
382,5
383,3
386,5
387,2
389,4
38item,1
38the,1
39,10
390,2
3905,1
391,3
392,3
393,1
394,7
395,6
396,2
397unrecognized,1
398,1
399,1
39part,1
39the,1
3indenture,1
3letter,1
3midland,1
3net,1
3relative,2
3unproved,1
40,25
400,2
400104note,1
400total,1
401,7
401net,1
402,2
402other,1
402total,1
403,5
404,1
405,5
406,4
407,9
407other,1
408,1
409,2
409a,1
40purchases,1
41,16
410,4
410ngl,1
411,5
412total,1
413,2
413working,1
414,5
415,2
416,1
417,2
419,1
41fourth,1
41item,1
42,4
420,4
42025,1
423,2
426,5
426net,1
426relative,1
427,2
428,9
429,2
4292020,1
42supplemental,1
43,26
432,2
433,2
434,2
4345,1
436,1
437,5
438,1
439,4
43item,1
44,20
4405,1
441,1
442,3
443,3
444,6
446,7
44690note,1
447,4
448,7
449,1
44gain,1
45,11
450ngl,1
450operating,1
451,1
452,1
456,1
457,2
458,2
459,3
45ngls,1
45this,1
46,12
460,1
462drilling,1
463credit,1
463the,1
464,3
466,1
467,1
467derivative,1
468,4
46depletion,1
46production,1
46realized,1
47,16
470,1
470____________________________________________,1
470total,1
471,2
471101pension,1
471derivative,1
472,1
473,2
474,1
474total,1
475,2
476,4
478,1
478____________________________________________,1
478accounts,1
478amortization,1
478net,1
47the,1
47total,1
48,27
481,1
482,1
483,2
484,1
485,2
486,2
487,2
488,2
489,1
48assets,1
49,26
490,2
491,8
492,9
493,2
494,4
494income,1
495,1
496,1
496total,1
497,7
499,3
49financial,1
4____________________________________________note,1
4abandonment,1
4asset,1
4gas,2
4mmboe,1
4net,1
4purchase,1
4relative,1
4revisions,2
4senior,1
4there,1
50,36
500,34
500trade,1
500unamortized,1
501,1
502,9
5022020,1
503,5
504,3
506,1
507,4
507contributionsthe,1
507total,2
508,10
509,2
50a,1
51,8
512,1
513,1
514,2
515,7
516,1
51____________________________________________,1
51transportation,1
52,7
522,2
523,3
523impairment,1
524,1
526,1
526sales,1
527,1
528,1
529,3
52depletion,1
52non,1
52third,1
53,8
530,3
531,2
533,3
536,2
537pension6,1
538,1
538total,1
539,2
539deferred,1
53the,1
54,16
540,1
540net,1
543,1
545,1
545other,1
546,1
547,1
549,3
54dd,1
55,14
552,6
554,2
555,2
556,2
556sales,1
557,6
559,2
55general,1
56,20
560total,1
561,4
562,1
565depletion,1
568,6
568basic,1
568diluted,1
568dilutive,1
56non,1
56please,1
56vested,1
57,10
570cumulative,1
571,3
572,1
573,5
573revenue,1
574,1
575,5
575if,1
575purchase,1
577,1
579,1
57overview,1
58,9
580,4
581,1
582,1
582commodity,1
582settlements,2
582total,1
584,1
584unproved,1
585,1
587,3
588,4
588liabilities,1
58ngls,1
58we,1
59,8
590,3
593,3
594,1
595,7
597,4
599,1
59as,1
59non,1
5____________________________________________,1
5areas,1
5base,1
5eagle,1
5end,1
5exploration,1
5gas,1
5general,1
5membership,1
5mmboe,1
5oil,1
5operating,1
5production,1
5south,2
5the,1
60,10
600,2
601,1
602,1
603,1
604,2
606,2
607,5
607employee,1
608cash,1
608net,1
608total,1
609,5
60completion,1
61,6
610,2
610amounts,1
611,9
613,2
614,1
614abandonment,3
617cash,1
619,1
61commodity,1
61third,1
62,8
621,4
622,3
623,2
623issuance,1
623retained,1
624,1
625,13
626,1
627,2
6276,1
628,3
628fair,1
629,6
62in,1
63,12
630113supplemental,1
630derivative,1
632,2
633credit,1
633derivative,2
633other,1
634,1
635,1
636,5
637,4
638,4
638interest,1
639,2
63production,1
63the,1
64,23
640cash,1
641,2
642,4
643,3
644,2
644interest40,1
649,2
64proved,1
65,10
650,5
651,1
652020,1
654,6
656,1
657,3
657accumulated,1
658,1
659,1
659service,1
65environmentalwe,1
66,5
661,1
662,1
6622,1
663,2
6637,1
663senior,1
663the,1
665,7
666,3
667,1
667total,1
66accumulated,1
66in,1
67,8
671,4
672proved,1
672unproved,1
673,1
674,2
675,2
676gas,1
679,1
67depletion,1
67fourth,1
67the,1
68,11
681,1
6826,1
685,2
685interest,1
687,2
687total,1
688,2
689,1
689actuarial,1
68item,1
68total,1
69,7
690,2
691,1
6914,1
691qstar,1
6932024,1
694,2
698,1
699,4
69item,2
69third,1
6____________________________________________,1
6abandonment,1
6exploration,1
6gas,2
6mmboe,1
6ngls,1
6proved,1
6revisions,1
6second,2
6south,1
6used,1
6we,1
70,12
700,6
700cumulative,1
700other,1
704,1
707,1
708,3
708benefits,1
71,9
710,1
711,2
713,2
714,1
715,4
7152023,1
716,1
718,2
719,1
71sm,1
72,7
720,6
721,3
722,3
722other,1
723,4
724,1
725,2
727,2
729,2
72sm,1
73,3
730,2
731,1
731actual,1
732,1
732basic,1
732other,1
733,2
734,1
735,2
735collective,1
736,1
737,1
738,3
738total,1
73____________________________________________note,1
73consolidated,1
73dividends,1
73gas39,1
73sm,1
74,5
740,5
741,8
7412023,1
744,9
745,3
745exploration,1
745exploration55,1
745impairment,1
746,2
747,2
748,1
74sm,1
75,19
750,4
751,3
752020,1
752total,1
753,1
754,1
755,1
756,1
757,10
758,1
7586,1
75sm,1
76,20
760net,1
761,1
764,1
765,3
765income,1
766,1
767,5
767cash,1
768,1
769,4
76diluted,1
76sm,1
77,6
771,1
772,1
772total,1
774,1
776,1
776____________________________________________,1
776liabilities,1
777,1
77the,1
78,6
780,2
781,1
782additions,1
783,1
783relative,1
784,2
785,1
7852022,1
786,1
789,3
78_____________________________________,1
78for,1
79,9
790,9
792noncurrent,1
794,2
796,5
798,1
79cash,1
79collars,1
7a,2
7dd,1
7derivative,1
7gas,3
7gas1,1
7general,1
7lease,1
7mmboe503,1
7net,1
7proved,1
7purchase,1
7sales,1
7the,1
7third,1
7total,1
7total161,1
7weighted,1
80,19
800,5
800total,1
801,1
802,1
80203,2
803,5
804,1
804____________________________________________,1
805,4
806,6
808,2
809,2
80industry,1
81,3
812,1
812proved,1
813,1
8140,2
818,2
819,1
819other,1
81granted572,1
81the,1
82,4
820,2
820collective,1
821,2
822,1
822018,1
822____________________________________________,1
825,1
826,1
828,2
828net,1
828total,1
829,1
83,1
831,1
832,4
833,2
834eagle,1
835,2
835total,1
837changes,1
838gas,1
839,1
83fourth,1
83third,1
83total,1
84,5
840,1
842,5
843,7
844,2
845,2
846,2
846as,1
846divestitures,1
847,2
849,1
84revenue,1
85,15
851,1
852,3
852016,1
853,2
853commodity,1
857,1
859,1
85effect,1
85gas,1
85opis,1
86,6
860,3
861,3
862,3
865,2
867,3
867stock,1
868valuation,1
869total,1
86exchange,1
86wells,1
87,4
870less,1
871,1
871equity,1
872,1
873,1
873sweetie,1
875,2
876,2
877,3
878,1
879,1
879deferred,1
87general,1
87under,1
88,8
884,1
885,3
887,1
888,1
889,3
88the,1
89,10
890total,1
893,1
894,2
894____________________________________________,1
896,3
897,1
897issuance,1
897net,2
898,2
89federal,1
8___________________________________________,1
8equivalent,1
8fourth,1
8gas,3
8ngls,1
8proved,1
90,15
900,2
904,1
906,5
907,2
908,3
908cumulative,1
908expected,1
909,2
90th,1
91,12
911,1
912,6
9132022,1
914,1
916,3
917,3
918,1
919,1
91diluted,1
91senior,1
92,9
920,3
921,2
922022,1
923,3
924,3
925,2
926,1
929state,1
92general,1
930,1
931,1
931total,1
932020,1
932state1,1
934,4
935,2
936,1
937,6
938,3
938deferred,1
938future,1
93fourth,1
93second,1
93the,1
93third,1
94,6
940,1
941,1
942income,1
943,2
943accounts,1
946,1
947,1
949,2
94ad,1
94note,1
95,7
950total,1
952,1
952additions,1
953,2
9556,1
956,1
956employer,1
957,1
95799note,1
958,1
959,4
95contingenciesthe,1
95transportation,1
96,11
961midland,1
961revisions,1
962,1
963,2
964,1
965,2
966,3
968,4
969,3
96a,1
96nymex,1
97,3
970,6
970general,1
970impairment,1
971,1
972020,1
975,2
977,4
978,6
978funded,1
97compensation,1
97gas,1
98,6
984,4
984offsetting,1
985,4
986,2
986federal,1
988revision,1
989,1
989derivative,1
98realized,1
98total,1
99,6
990,1
991,2
992other,1
993,1
994,1
995,3
9966,1
997,1
998,3
999,2
99other14,1
9a,2
9acquisitions,1
9avg,2
9b,2
9depletion,2
9end,1
9equivalent,1
9gas,1
9gathering,1
9mmboe,1
9ngls,3
9oil,1
9realized,1
9removed,1
9sales,1
9settlements,1
9supplemental,1
_________________________________________,1
___________________________________________,1
____________________________________________,14
____________________________________________note,4
__________________________________________note,2
abandon,2
abandoned,2
abandoning,2
abandonment,21
abandonments,1
abbreviated,1
ability,62
able,13
abnormal,1
abr,2
absence,1
absolute,5
absorb,1
abstract,1
abundance,1
accelerate,2
accelerated,12
accelerating,1
acceleration,8
acceptable,5
accepted,7
access,17
accessing,1
accident,1
accidents,3
accommodate,1
accompanying,70
accomplished,1
accordance,30
according,1
accordingly,7
accords,2
account,8
accountant,2
accountants,2
accounted,7
accounting,107
accounts,24
accretion,14
accretion665,3
accrual,2
accruals,5
accrue,2
accrued,29
accrues,1
accruing,1
accumulated,18
accumulation,2
accuracy,3
accurate,2
accurately,3
achievable,1
achieve,3
achieved,1
achieving,1
acquire,17
acquired,27
acquired1,2
acquiring,8
acquisition,57
acquisitions,48
acquisitions2018,1
acre,3
acreage,71
acreage13,1
acres,24
act,57
action,13
actions,12
active,7
actively,5
activities,136
activities720,1
activitiescosts,1
activitiesproved,1
activity,42
activity12,1
activity426,1
activityall,1
activityduring,2
activityeagle,1
activityprb,1
activityrock,1
activityrocky,1
acts,2
actual,46
actually,1
actuarial,6
ad,10
added,15
adding,1
addition,45
additional,142
additionally,15
additions,9
additives,1
address,7
addressed,1
addresses,1
addressing,1
adequate,4
adequately,2
adjacent,3
adjoining,1
adjust,3
adjusted,52
adjusting,1
adjustment,14
adjustments,10
adjusts,1
administer,1
administered,1
administration,9
administrative,24
administrative116,1
adopt,3
adopted,21
adopting,9
adoption,17
advancements,2
advances,1
advantage,1
advantages,1
adverse,36
adversely,39
affect,51
affected,19
affecting,9
affects,2
affiliate,3
affiliated,3
affiliates,6
affordable,1
aftermath,1
age,1
agencies,18
agency,7
agent,4
aggregate,40
aggregated,4
aggregation,1
agree,2
agreed,7
agreeing,1
agreement,124
agreementon,2
agreements,25
air,19
algorithmic,1
aligns,1
allegations,1
alleged,2
allegedly,2
alleging,1
allocable,1
allocate,1
allocated,12
allocation,10
allocations,3
allow,11
allowance,4
allowance105,1
allowances,9
allowed,2
allowing,3
allows,7
alter,1
altered,1
alternate,1
alternative,7
alternatives,1
altogether,2
ambient,1
amenable,1
amend,2
amended,27
amending,1
amendment,8
amendments,5
america,6
amortization,29
amortized,14
amounts,70
amt,3
analogous,7
analyses,2
analysis,21
analysts,5
analyze,1
analyzed,1
analyzing,1
angles,1
animal,1
annex,2
anniversary,3
announced,3
annual,41
annualized,7
annually,2
anomalies,1
anti,5
anticipate,11
anticipated,13
apart,1
appeals,5
appear,1
appears,2
appellate,1
applicable,26
application,11
applications,1
applied,7
applies,4
apply,5
applying,7
appoints,1
apportioned,1
apportionment,6
appreciation,2
approach,7
appropriate,20
approval,5
approvals,3
approved,8
approximate,5
approximated,1
approximately,56
approximates,5
april,12
area,17
areal,1
areas,33
arise,4
arising,4
arithmetic,2
armed,2
army,1
arrange,1
arranged,1
arrangement,6
arrangements,32
arrangementsas,1
arrangementsthe,1
asc,2
aspects,5
asserted,2
asserting,1
assess,3
assessed,2
assessing,2
assessment,9
asset,87
assets,224
assets120disposition,1
assets130unrealized,1
assets152disposition,1
assets175,1
assets191unrealized,1
assets33,1
assets34,1
assets35,1
assets37,1
assets429,1
assets5,1
assets58,1
assets92,1
assetsthe,1
assign,1
assignable,1
assigned,2
assignment,1
assimilating,1
assist,1
assistant,1
associated,55
association,15
assume,5
assumed,10
assumes,3
assuming,6
assumption,2
assumptions,32
assumptionsthe,1
assurance,17
asu,56
asus,4
atmosphere,4
attached,1
attack,1
attacks,6
attainable,1
attainment,3
attempt,1
attempts,1
attention,3
attestation,1
attorney,2
attorney31,1
attorneyknow,1
attorneys,1
attract,4
attractive,3
attributable,3
attributed,7
audit,18
audited,5
auditor,1
auditryder,1
audits,7
august,42
auspices,1
authoritative,11
authorities,9
authority,8
authorization,1
authorizations,2
authorize,1
authorized,5
automatically,1
availability,19
available,48
average,80
averagecontract,3
averaged,3
averagegrant,3
averaging,1
avoid,3
award,19
awarded,2
awards,26
away,1
bachelor,2
backup,1
bad,1
bailo,2
bakken,2
balance,78
balances,10
ban,2
bank,25
bankruptcy,4
banks,1
barclay,1
bargain,1
bargaining,1
barrel,3
barrels,5
barriers,1
base,27
based,128
basic,11
basic111,1
basin,69
basis,95
bbl,36
bbtu,4
bcf,22
bear,4
bearing,2
bears,1
beaver,1
beds,1
began,3
begin,1
beginning,27
behalf,2
behavior,1
believe,35
believed,2
believes,6
belvieu,6
benchmark,8
beneficial,8
beneficiary,2
benefit,59
benefits,25
benefitsthe,1
best,3
bickle,2
bid,2
bidding,1
billings,5
billion,35
black,1
blend,1
blm,10
blowouts,1
board,23
boe,45
bond,2
bonding,1
bonds,5
bonus,5
book,1
booked,2
booking,2
books,2
boosting,2
bore,5
borne,1
borrow,6
borrowing,35
borrowings,9
boundaries,1
branch,1
brand,2
breach,3
breaches,5
breakdowns,1
breeding,1
brent,5
brigham,1
brine,1
bring,1
british,3
broader,1
brownian,1
btu,1
budget,4
build,1
buildings,1
built,1
burden,6
burdens,1
bureau,1
burning,1
business,64
businesses,2
butane,3
buyers,1
caa,9
cal,1
calculate,19
calculated,13
calculation,13
calculations,7
calendar,5
california,1
called,1
cancel,1
canceled,1
cap,7
capabilities,1
capable,4
capacities,2
capacity,16
capacity1,1
capital,112
capital1,1
capitalization,4
capitalized,23
capitalizes,1
capitalizing,2
capped,14
caption,7
captions,5
capture,6
carbon,10
carefully,1
carla,1
carlo,1
carried,1
carries,2
carry,1
carryback,1
carrybacks,1
carryforward,1
carryforwards,6
carrying,39
carryover,3
carryover22,1
carryovers4,1
case,13
cases,6
cash,260
cashwe,1
casing,2
categories,5
categorized,2
category,3
cause,17
caused,8
causes,1
caution,1
cautionary,4
ceiling,5
central,1
centrifugal,2
cercla,5
certain,126
certainty,5
certificate,3
certification,4
certifications,1
certified,1
certify,1
chairman,1
challenge,2
challenged,1
challenges,6
change,73
change10,1
changed,4
changerevisions,1
changes,117
changes13,1
changing,2
channel,1
chapter,2
character,1
characteristics,2
characterized,3
charge,1
charged,2
charges,2
charter,1
charters,1
chase,2
check,8
chemical,1
chemicals,6
chief,15
chieftain,4
chosen,1
circuit,5
circumstances,19
circumvented,1
cities,1
city,2
civ,1
civil,5
cj,1
claim,1
claimed,1
claims,14
clarified,2
clarifies,1
clarify,2
clarifying,1
class,8
classes,2
classification,12
classified,18
clay,1
clean,8
cleaning,1
cleanup,4
climate,25
climatic,4
closed,12
closing,7
closure,1
cloud,2
co2,1
co2e,1
coal,5
coast,19
code,6
collapse,1
collar,3
collars,1
collarscontract,2
collateral,4
collateralized,1
collect,1
collected,2
collectibility,1
collection,1
collective,5
collectively,4
collusion,1
colorado,3
coloradofebruary,2
columbia,2
column,1
com,1
combination,10
combinations,2
combined,13
combining,1
commence,1
commenced,3
commences,1
commencing,2
comment,1
comments,1
comments39item,1
commentswe,1
commerce,1
commercial,11
commercially,3
commingled,1
commission,9
commissions,4
commissionwashington,1
commit,1
commitment,11
commitments,38
commitments13,1
commitmentsthe,1
commits,1
committed,3
committee,7
committees,1
commodities,3
commodity,79
common,130
communicated,1
communication,2
community,1
companies,19
company,590
company44,1
companygeneral,1
comparability,2
comparable,8
comparative,4
compare,2
compared,86
compares,2
comparison,10
compensation,61
compensation121item,1
compensation2,1
compensation3,1
compensationat,1
compensationthe,1
compensatory,3
compete,8
competition,11
competition15,1
competitive,8
competitors,9
complaint,1
complete,13
completed,53
completely,1
completing,11
completion,78
completions,13
complex,8
compliance,40
complies,1
comply,14
complying,1
component,21
components,14
composed,1
composite,1
composition,2
compound,1
compounds,1
comprehensive,37
compressor,4
compressors,5
comprised,7
comprising,3
computation,1
computations,1
compute,1
computed,1
computer,2
computes,1
computing,2
conceived,1
concentrate,2
concentrated,2
concentrating,1
concentration,6
concentrations,2
concerning,7
concerns,1
concluded,2
conclusion,1
conclusive,1
conclusively,1
concurrently,1
condensate,2
condition,32
conditions,53
conduct,16
conducted,8
conducting,3
confidential,3
configuration,1
confined,1
confirmation,6
confirming,1
conflict,3
conform,9
conformity,3
congress,4
congressional,1
conjunction,7
connected,1
connecting,1
connection,10
consecutive,6
consent,2
consented,1
consequences,3
consequently,8
conservation,4
consider,5
considerable,4
consideration,35
considered,21
considering,2
considers,6
consist,5
consisted,6
consistency,1
consistent,10
consistently,1
consisting,2
consists,5
consolidate,2
consolidated,63
conspiracy,1
constant,1
constantly,1
constitutes,4
constituting,1
constrained,1
constraints,10
construct,1
constructed,4
constructing,1
construction,4
constructive,1
consultants,3
consulting,3
consumer,2
consuming,1
consummate,1
consummated,2
consumption,2
contain,8
contained,4
containing,4
containment,1
contains,5
contaminated,1
contamination,5
content,3
contents,1
contentsitem,1
context,2
contiguous,2
continent,1
contingencies,4
contingency,1
contingent,6
continuation,1
continue,27
continued,8
continues,7
continuing,4
continuity,1
continuous,2
contract,20
contractors,2
contracts,70
contracts13,1
contracts35,1
contracts53,1
contractscurrent,2
contractsnoncurrent,2
contractual,21
contractually,5
contravention,1
contribute,3
contributed,1
contributing,1
contribution,5
contribution8,1
contributions,4
contributory,2
control,88
controlled,1
controller,1
controlling,1
controls,25
conventional,1
conventions,1
converse,1
conversely,1
conversion,16
conversions,4
convert,4
converted,5
convertible,72
converting,1
converts,1
coordinated,1
core,19
corporate,23
corps,1
correct,1
correlations,1
corresponding,6
corresponds,1
corruption,3
coso,2
cost,61
cost18,2
cost2,2
cost6,1
costless,2
costly,2
costs,242
costs1,1
costs15,2
costs184,2
costs191,1
costs2,2
costs48,1
count,2
counted,1
counterparties,19
counterparty,8
counties,14
countries,3
counts,1
county,19
course,3
court,17
courts,3
covenant,1
covenants,27
cover,4
coverage,7
covered,7
covering,3
covers,1
craterings,1
create,4
creation,2
credit,166
credits,8
creditworthiness,1
crew,4
crews,6
criminal,4
criteria,14
critical,10
crude,2
cubic,3
cumulative,10
cumulatively,1
curative,1
cured,1
currencies,2
currency,1
current,102
currently,15
curtail,1
curtailment,2
curtailments,1
curve,2
curves,3
cushing,2
customary,3
customer,11
customers,25
customers13,1
customersthe,1
customerswe,1
cuts,1
cutting,3
cyber,3
cyberattacks,1
cybersecurity,6
cycle,3
dacfg,5
daily,12
dakota,7
damage,13
damages,11
data,44
data42item,1
data50,1
data70item,1
databases,1
datareport,1
datathe,2
date,65
dated,27
datefair,3
dates,7
day,26
days,15
dd,6
dealing,1
death,1
debt,129
debt26,2
debtcredit,1
debts,1
debtthe,1
decade,1
deceit,1
december,443
decide,1
decision,2
decisions,4
declare,2
declared,3
decline,10
declined,1
declines,10
declining,2
decommissioning,1
decrease,53
decreased,25
decreases,8
decreasing,1
dedicate,1
dedicated,1
deduct,1
deducted,1
deducting,9
deduction,1
deductions,9
deed,1
deem,1
deemed,3
def,1
default,10
defect,1
defective,1
defects,5
defend,1
defendant,1
defendants,2
defer,2
deferred,50
deferring,2
deficiencies,4
deficiency,9
deficit,2
defined,24
defines,1
definition,6
definitions,5
definitive,11
degree,5
degrees,1
dehydrators,1
delaware,3
delay,7
delayed,2
delaying,2
delays,21
delegated,1
deliberate,1
delineate,1
delineating,2
delineation,2
delinquent,1
deliver,10
delivered,7
deliveries,1
delivering,2
delivery,18
demand,30
demographics,1
demonstrated,1
den,4
dense,1
denver,3
deny,1
department,1
departments,1
departures,1
depend,13
dependence,3
dependent,7
depending,8
depends,2
depleted,8
depletes,1
depletion,28
deployed,1
deposited,1
depreciated,2
depreciation,23
depressed,2
depth,3
deregulation,1
derivative,128
derivatives,19
derivativesthe,1
derived,4
derives,2
described,8
describing,1
description,2
design,9
designate,2
designated,3
designation,3
designed,6
designs,2
desired,2
despite,1
destruction,1
detailed,4
details,1
detect,2
detected,2
detection,6
deteriorate,3
determination,11
determinations,1
determine,13
determined,29
determining,4
deterministic,3
develop,23
developed,33
developing,7
development,119
developments,7
deviating,1
did,12
diesel,2
differ,4
difference,8
differences,7
different,15
differential,5
differentials,20
differs,5
difficult,12
difficulties,2
difficulty,1
digital,5
diluted,17
dilution,3
dilutive,16
dilutive1,1
diminished,1
dioxide,4
direct,5
directed,3
direction,1
directly,7
director,19
directors,30
directors10,1
disadvantage,2
disaggregation,2
disagreements,2
disasters,1
disbursements,1
discharge,5
discharges,3
disclaim,1
disclose,1
disclosed,5
disclosure,25
disclosure117item,1
disclosurenone,1
disclosures,11
disclosures39,1
disclosuresthese,1
discontinuance,1
discontinue,2
discontinued,3
discount,33
discount305,1
discounted,25
discounts,3
discourage,2
discover,1
discovered,3
discoveries,11
discovery,1
discretion,6
discuss,1
discussed,20
discussion,81
dismantlement,1
dispatching,1
disposal,19
disposals,1
dispose,5
disposed,6
disposition,4
dispositions,3
disproportionate,1
dispute,1
disputed,1
disputes,1
disrupting,1
disruption,1
disruptions,5
distracted,1
distributed,1
distribution,2
distributions,2
district,7
diversification,2
diversified,4
diversify,1
