,0,1,2,3
anti,6,6,5,4
approximates,6,6,5,6
audited,6,5,5,5
believes,6,6,6,7
blm,6,9,10,12
certainty,6,7,5,6
cftc,6,0,0,0
changed,6,5,4,4
chemicals,6,8,6,8
colorado,6,6,3,4
combination,6,9,10,4
commodities,6,3,3,3
conjunction,6,12,7,11
consist,6,8,5,7
construction,6,5,4,5
contribution,6,5,5,6
cover,6,4,4,4
covered,6,5,7,6
cumulative,6,6,10,6
declared,6,3,3,3
deemed,6,5,3,6
defer,6,2,2,2
degree,6,6,5,6
deliver,6,6,10,10
described,6,8,8,7
developments,6,7,7,7
difficulties,6,3,2,3
discontinued,6,3,3,4
discretion,6,7,6,6
disposed,6,6,6,6
dollar,6,6,8,6
domestic,6,6,7,6
earned,6,3,2,4
earth,6,5,5,5
effectiveness,6,6,7,6
effort,6,7,5,5
elect,6,2,2,2
endangered,6,6,6,5
engineers,6,6,5,6
entitled,6,6,6,5
erp,6,0,0,0
estimation,6,5,6,5
expectations,6,6,7,6
extension,6,5,4,4
failure,6,6,5,6
fasb,6,16,12,9
firm,6,6,8,6
fully,6,8,10,6
futures,6,6,2,6
governance,6,5,5,5
groundwater,6,5,4,5
hierarchy,6,6,6,6
horizontal,6,5,5,5
human,6,6,6,6
immediately,6,10,7,5
indebtedness,6,7,8,7
integral,6,6,6,6
intense,6,6,6,6
interval,6,0,0,3
involved,6,6,5,6
issue,6,4,6,4
knowledge,6,5,5,5
leased,6,5,5,5
legal,6,6,8,6
legislative,6,6,6,6
letters,6,5,6,6
lives,6,6,5,8
llc,6,26,18,7
mature,6,8,8,6
maximum,6,7,11,6
met,6,6,5,5
normal,6,7,6,6
offer,6,9,13,10
offices,6,7,3,6
open,6,9,6,5
outlined,6,7,5,5
participating,6,4,4,5
penalties,6,7,8,7
performed,6,8,7,6
persons,6,6,7,6
posted,6,4,1,6
practices,6,5,4,4
predict,6,8,10,6
pressure,6,6,5,8
prohibit,6,8,7,6
protected,6,6,6,6
psu,6,4,7,2
published,6,5,5,8
purchased,6,6,5,7
pursue,6,2,4,8
qualify,6,4,4,4
range,6,7,7,5
reconciliation,6,7,6,5
regulated,6,6,5,6
relationships,6,6,6,6
relatively,6,9,6,6
rely,6,6,6,6
remain,6,8,9,6
remedial,6,6,6,6
repay,6,4,3,6
retain,6,7,7,8
royalty,6,7,11,7
salary,6,4,4,4
seismic,6,7,8,5
sets,6,5,5,5
severance,6,4,4,5
smaller,6,6,4,7
staff,6,6,7,6
stimulate,6,6,6,6
subsidiariesconsolidated,6,6,6,6
summarized,6,10,12,5
supplies,6,6,6,6
surface,6,8,9,8
takes,6,4,5,4
termination,6,10,9,8
thereto,6,10,3,7
traded,6,5,4,3
transaction,6,13,12,6
undrilled,6,5,5,5
unvested,6,7,0,6
utilization,6,11,9,6
website,6,6,6,6
wellbore,6,6,6,6
wyoming,6,2,2,1
xbrl,6,6,6,6
yield,6,6,7,6
1,5,13,13,11
6,5,1,1,3
9,5,5,2,8
21,5,1,0,2
44,5,3,4,4
62,5,3,0,4
73,5,7,3,8
77,5,1,6,4
82,5,2,4,3
133,5,7,1,5
151,5,15,3,10
165,5,8,4,4
184,5,6,2,8
189,5,6,4,7
217,5,2,6,2
253,5,6,6,5
260,5,1,0,2
338,5,2,2,6
340,5,5,2,5
341,5,1,1,4
383,5,3,3,1
391,5,1,3,2
400,5,5,2,4
401,5,6,7,7
411,5,4,5,5
427,5,2,2,5
463,5,1,0,2
527,5,1,1,2
544,5,3,0,4
606,5,11,2,6
618,5,1,0,4
641,5,4,2,3
676,5,0,0,3
698,5,5,1,5
833,5,3,2,2
846,5,2,2,2
939,5,0,0,2
acquiring,5,8,8,6
address,5,9,7,6
adopting,5,5,9,4
amendments,5,11,5,12
applying,5,5,7,4
apportionment,5,3,6,4
approach,5,4,7,6
approval,5,5,5,5
approximate,5,11,5,9
arklatex,5,0,0,1
arkoma,5,0,0,1
assume,5,4,5,5
assuming,5,6,6,5
atmosphere,5,4,4,4
audits,5,5,7,6
authorized,5,5,5,5
barrels,5,5,5,5
bbls,5,7,0,9
began,5,7,3,4
bore,5,5,5,5
captions,5,6,5,6
carryforwards,5,5,6,5
cercla,5,5,5,5
civil,5,5,5,5
climatic,5,4,4,4
coal,5,4,5,4
collective,5,5,5,5
comparative,5,5,4,5
completions,5,10,13,10
component,5,14,21,7
concentration,5,5,6,4
congress,5,6,4,5
consists,5,4,5,4
constitutes,5,4,4,5
contains,5,5,5,4
contamination,5,5,5,5
count,5,7,2,5
coverage,5,5,7,5
decision,5,6,2,9
decisions,5,4,4,4
deducting,5,9,9,5
default,5,11,10,5
definitions,5,5,5,5
differ,5,4,4,5
dioxide,5,4,4,4
disclosed,5,6,5,5
document101,5,5,5,5
drinking,5,6,7,7
election,5,6,8,4
emerging,5,3,7,4
enacted,5,5,1,5
enter,5,6,6,5
estate,5,5,5,5
evidence,5,4,4,4
exceed,5,7,6,5
exchanges,5,4,4,4
excluded,5,5,4,4
exercise,5,6,4,5
exercised,5,6,0,7
exhibits,5,5,5,5
exit,5,14,2,5
expended,5,2,0,2
experienced,5,6,6,4
fargo,5,15,3,6
fee,5,7,7,4
feet,5,4,4,4
fifth,5,8,3,7
fired,5,3,2,2
fluctuate,5,4,4,3
fracture,5,5,5,5
fuels,5,5,5,5
geologic,5,5,5,5
glossary,5,6,6,4
henry,5,5,5,5
holes,5,7,3,5
horizon,5,5,4,5
hub,5,5,5,5
identified,5,6,8,5
iii,5,6,5,5
improved,5,3,4,5
incentives,5,5,4,5
increasing,5,5,11,6
indentures,5,11,11,7
initial,5,11,16,4
instrument,5,2,1,4
invest,5,2,1,2
irc,5,4,3,4
issues,5,6,5,5
leasing,5,1,2,1
limits,5,9,8,2
loe,5,5,5,6
manage,5,4,4,4
managed,5,3,2,4
mbbl,5,5,14,5
mineral,5,5,4,5
mutually,5,3,2,3
negative,5,17,2,8
negatively,5,7,6,8
nonqualified,5,5,5,5
noted,5,9,2,6
noteson,5,1,1,5
occurs,5,5,4,6
officers,5,4,4,4
operation,5,8,9,8
organizations,5,4,4,4
osha,5,5,5,5
ottoson,5,5,5,5
owner,5,4,4,4
paying,5,4,4,6
peers,5,4,3,4
pending,5,7,8,7
personal,5,5,5,5
plant,5,5,4,5
pollution,5,5,5,6
portions,5,7,4,5
preceding,5,6,6,5
problems,5,5,4,5
processes,5,5,8,4
purpose,5,7,6,7
quoted,5,5,5,5
raise,5,7,6,5
ratings,5,10,10,10
rcra,5,5,5,5
receivables,5,6,5,6
recover,5,6,5,6
recovered,5,7,5,6
reductions,5,9,4,14
relates,5,4,2,5
requirement,5,4,4,4
respects,5,5,4,4
responsibility,5,3,3,3
restoration,5,4,4,5
satisfy,5,5,8,3
separate,5,4,8,5
shortfalls,5,5,5,5
shut,5,4,5,5
space,5,7,7,11
standard,5,8,9,8
statutes,5,5,5,5
statutory,5,5,5,5
stochastic,5,5,5,5
strategy,5,6,9,4
strength,5,1,1,1
strict,5,5,5,5
structured,5,4,4,5
successfully,5,4,4,3
summer,5,3,3,3
test,5,2,5,2
thereafter100,5,0,0,0
tools,5,5,5,5
transferred,5,8,4,4
transition,5,5,6,3
ultimately,5,6,6,6
unauthorized,5,5,5,5
upward,5,2,1,4
useful,5,4,3,5
valuations,5,6,6,5
vest,5,9,9,4
vice,5,5,4,5
warming,5,5,5,5
wildlife,5,5,5,5
winter,5,5,3,5
withholding,5,1,1,3
wti,5,7,17,5
7,4,4,11,3
31,4,4,1,6
72,4,5,7,5
80,4,3,0,5
88,4,4,8,5
96,4,6,11,2
104,4,6,15,4
115,4,8,12,7
116,4,6,7,5
122,4,8,4,6
128,4,5,1,5
130,4,11,8,5
132,4,5,2,6
134,4,5,3,4
144,4,5,5,5
159,4,1,2,0
167,4,7,4,6
180,4,2,1,2
195,4,3,3,2
205,4,2,3,0
219,4,1,1,4
245,4,0,2,2
254,4,2,1,3
281,4,0,0,2
356,4,5,2,4
357,4,3,4,4
414,4,1,5,2
416,4,1,1,2
419,4,2,1,1
422,4,1,0,1
456,4,5,1,4
470,4,0,1,1
473,4,4,2,1
490,4,3,2,3
493,4,4,2,3
510,4,1,0,1
516,4,3,1,3
522,4,2,2,3
532,4,2,0,4
547,4,5,1,5
569,4,2,0,5
609,4,2,5,1
616,4,2,0,3
625,4,10,13,11
656,4,0,1,0
658,4,2,1,1
680,4,1,0,1
694,4,1,2,3
765,4,2,3,5
775,4,2,0,2
780,4,2,2,8
842,4,2,5,5
858,4,0,0,1
867,4,0,3,3
872,4,1,1,3
974,4,1,0,3
998,4,1,3,2
2006,4,2,2,2
2018,4,6,583,10
2028,4,1,2,4
absolute,4,7,5,7
add,4,7,0,3
administration,4,10,9,4
allocations,4,3,3,5
allows,4,5,7,2
america,4,6,6,3
aspects,4,5,5,4
attract,4,4,4,4
august,4,37,42,7
balances,4,8,10,5
behalf,4,4,2,3
billings,4,13,5,5
bonds,4,5,5,5
borrow,4,6,6,6
burden,4,4,6,4
cap,4,8,7,4
capable,4,4,4,4
cautionary,4,4,4,4
certificate,4,3,3,4
cleanup,4,4,4,4
collars,4,1,1,0
collateral,4,3,4,3
compares,4,2,2,3
conformity,4,3,3,3
conservation,4,4,4,4
consider,4,7,5,4
considerable,4,4,4,4
considers,4,4,6,3
contained,4,5,4,4
content,4,4,3,4
contractually,4,3,5,3
coso,4,2,2,2
counties,4,7,14,2
countries,4,5,3,3
county,4,29,19,4
covenant,4,3,1,4
credits,4,8,8,4
criminal,4,4,4,4
cubic,4,3,3,3
curves,4,3,3,3
customary,4,14,3,4
cybersecurity,4,4,6,4
decreases,4,5,8,6
department,4,2,1,2
depleted,4,9,8,5
derived,4,3,4,4
designation,4,3,3,4
did,4,9,12,8
directly,4,5,7,4
discharge,4,4,5,4
dispose,4,5,5,5
distributed,4,1,1,2
diversified,4,4,4,4
divest,4,1,1,2
divide,4,25,17,3
doing,4,4,3,4
elected,4,2,4,2
electricity,4,4,5,4
employment,4,1,2,2
encounter,4,2,1,2
entering,4,2,2,2
entire,4,7,6,5
excludes,4,3,5,3
execute,4,6,4,4
exercisable,4,2,0,3
expansion,4,2,3,4
extend,4,5,4,7
extraction,4,3,4,4
fairly,4,3,3,3
finalize,4,0,0,0
flat,4,8,6,5
flexibility,4,2,4,5
floor,4,5,6,0
flowback,4,4,2,5
frac,4,4,0,4
furnished,4,4,4,4
goal,4,2,2,4
grow,4,3,3,3
hazards,4,4,3,4
hedging,4,3,2,3
history,4,4,4,4
identify,4,6,5,4
impacting,4,6,1,4
impaired,4,5,2,8
implemented,4,1,4,2
incorporation,4,4,4,4
indicative,4,4,4,4
indicator,4,0,0,0
institutional,4,4,1,4
integrated,4,3,3,3
interim,4,8,0,5
international,4,3,4,3
irs,4,3,2,3
javan,4,4,4,4
labor,4,4,4,4
lack,4,6,5,4
larger,4,4,2,4
leading,4,4,2,3
linkbase,4,4,4,4
linked,4,2,2,3
louisiana,4,1,1,1
mainly,4,3,1,4
manager,4,1,4,4
manner,4,3,3,3
margins,4,5,4,4
master,4,3,2,3
means,4,4,3,4
metric,4,1,1,1
minimal,4,4,2,4
mmcf,4,3,3,4
modified,4,13,8,6
montana,4,14,6,3
monthly,4,5,4,4
near,4,9,8,4
northern,4,0,0,1
nqdc,4,0,0,0
nsps,4,7,10,10
numerator,4,0,0,0
obligationsthe,4,2,2,3
observable,4,6,2,6
occurring,4,2,1,2
offerings,4,8,5,0
offsetting,4,6,12,5
opa,4,4,4,4
operators,4,5,6,6
participant,4,2,1,1
periodically,4,6,6,5
permitted,4,8,2,3
primary,4,3,5,5
producers,4,4,3,4
professionals,4,4,4,4
prohibited,4,4,5,4
providing,4,4,4,5
quantity,4,4,7,4
receipts,4,4,4,2
reclassification,4,4,2,5
recognize,4,4,5,4
recompletion,4,4,4,4
refineries,4,3,3,3
refundable,4,2,1,2
remainder,4,3,1,3
replacing,4,1,1,0
repurchases,4,5,5,5
retrospective,4,11,8,4
reviews,4,4,4,4
revised,4,8,6,5
rsu,4,5,5,4
run,4,4,3,5
sand,4,3,4,5
schedule,4,5,7,4
schedules,4,4,4,4
sdwa,4,2,0,4
seasons,4,4,2,4
secured,4,6,4,4
selling,4,7,3,4
semi,4,10,7,6
shortages,4,5,5,5
site,4,4,3,4
slightly,4,5,5,4
solely,4,3,5,2
special,4,3,2,4
sponsoring,4,3,3,3
stipulations,4,4,4,4
stockholder,4,4,5,4
stream,4,3,2,3
strong,4,6,8,7
studies,4,4,4,3
study,4,3,2,2
subsurface,4,4,4,4
suite,4,4,4,4
tables,4,5,5,4
taken,4,5,8,4
target,4,5,5,3
taxable,4,5,3,4
technological,4,4,4,4
terminal,4,4,2,4
thereof,4,1,1,2
thousand,4,3,3,3
threatened,4,4,5,4
treadway,4,3,3,3
trend,4,4,4,2
tribal,4,8,4,7
unconsolidated,4,4,4,4
underground,4,4,4,4
unforeseen,4,2,2,2
valorem,4,12,12,7
valued,4,7,5,5
weakness,4,5,4,4
wide,4,9,3,5
withheld,4,2,2,2
withholdings,4,2,2,2
work,4,4,4,4
world,4,4,4,4
5,3,1,0,2
13,3,1,1,2
20,3,3,3,0
59,3,4,8,8
76,3,1,1,0
78,3,2,3,2
110,3,2,2,1
129,3,5,5,4
139,3,2,6,1
143,3,4,9,3
146,3,8,4,4
175,3,2,5,6
185,3,2,3,2
187,3,6,3,2
214,3,8,4,4
227,3,1,2,0
228,3,1,1,4
233,3,0,5,5
236,3,2,1,5
244,3,6,5,4
247,3,2,2,5
248,3,1,0,2
257,3,5,4,1
261,3,0,0,1
270,3,2,0,3
282,3,2,2,3
297,3,1,3,1
302,3,6,2,5
303,3,3,3,3
308,3,0,2,1
318,3,0,0,0
322,3,2,2,2
326,3,1,1,3
346,3,3,1,0
347,3,4,2,1
366,3,1,0,2
372,3,5,2,2
373,3,3,1,1
375,3,3,4,3
390,3,2,2,1
392,3,1,3,1
397,3,3,0,5
407,3,2,9,2
410,3,2,4,2
412,3,2,0,2
428,3,2,9,2
439,3,0,4,3
475,3,2,2,3
478,3,8,1,5
480,3,1,0,3
481,3,7,1,5
485,3,3,2,2
496,3,3,1,5
498,3,1,0,3
505,3,2,0,3
514,3,1,2,1
550,3,3,0,1
553,3,1,0,3
554,3,4,2,3
555,3,0,2,3
570,3,2,0,2
572,3,3,1,3
577,3,2,1,2
590,3,2,3,4
613,3,1,2,2
617,3,4,0,2
622,3,0,3,0
627,3,1,2,1
632,3,1,2,2
639,3,4,2,3
640,3,1,0,2
646,3,2,0,3
647,3,2,0,4
660,3,4,0,4
663,3,1,2,3
669,3,2,0,2
671,3,2,4,4
700,3,10,6,9
705,3,0,0,2
715,3,4,4,4
723,3,15,4,14
724,3,5,1,2
725,3,2,2,3
742,3,0,0,0
744,3,8,9,1
763,3,0,0,1
781,3,1,1,2
782,3,3,0,3
808,3,0,2,0
809,3,3,2,2
823,3,2,0,2
828,3,1,2,1
836,3,5,0,4
853,3,1,2,1
859,3,0,1,0
861,3,4,3,3
864,3,0,0,4
877,3,0,3,1
888,3,1,1,2
891,3,1,0,2
904,3,1,1,0
906,3,2,5,1
921,3,6,2,3
922,3,3,0,2
940,3,1,1,3
983,3,0,0,0
985,3,3,4,2
997,3,1,1,1
1992,3,1,1,1
2004,3,4,0,4
2027,3,0,23,0
2019101,3,0,0,0
000total,3,1,1,2
2012net,3,0,0,0
4gas,3,1,2,0
7gas,3,1,3,1
9ngls,3,3,3,0
abandoned,3,2,2,3
accidents,3,3,3,3
accretion767,3,0,0,0
accruing,3,1,1,1
accurately,3,3,3,3
achieve,3,3,3,3
action,3,7,13,3
acts,3,2,2,2
ad,3,10,10,5
adequate,3,3,4,3
adjust,3,4,3,5
administered,3,1,1,1
affiliates,3,5,6,3
american,3,2,0,3
anniversary,3,4,3,1
anticipates,3,1,0,1
appeals,3,3,5,1
arise,3,3,4,5
arrange,3,3,1,3
arrangement,3,1,6,1
assess,3,3,3,3
assessed,3,2,2,3
assumes,3,3,3,3
attacks,3,3,6,3
attention,3,3,3,3
attractive,3,3,3,3
averagecontractprice,3,3,0,4
averagegrant,3,3,3,3
barrel,3,3,3,3
believed,3,3,2,3
benchmark,3,3,8,3
bid,3,2,2,3
breaches,3,3,5,3
broader,3,1,1,2
build,3,3,1,3
built,3,2,1,4
called,3,1,1,1
capture,3,5,6,5
category,3,3,3,4
ceiling,3,4,5,0
certification,3,3,4,3
characterized,3,3,3,3
chemical,3,2,1,3
claimed,3,2,1,1
class,3,3,8,3
clearing,3,0,0,0
close,3,9,0,0
closed,3,25,12,5
collar,3,4,3,0
collectively,3,3,4,2
coloradofebruary,3,2,2,2
commencement,3,0,0,2
comment,3,1,1,2
commercially,3,3,3,3
committed,3,2,3,5
compensatory,3,3,3,3
concluded,3,2,2,2
condensate,3,3,2,3
conducting,3,4,3,5
conflict,3,3,3,3
consent,3,8,2,7
consequences,3,3,3,3
consisted,3,6,6,2
consultants,3,3,3,3
consulting,3,3,3,3
containing,3,3,4,3
continues,3,2,7,2
continuing,3,3,4,2
contribute,3,3,3,3
convert,3,4,4,0
correlate,3,0,0,1
courts,3,3,3,3
covering,3,3,3,3
create,3,4,4,4
customer,3,9,11,3
datefair,3,3,3,3
defects,3,3,5,3
definition,3,5,6,3
delaware,3,3,3,3
delayed,3,2,2,3
delivering,3,2,2,2
denver,3,5,3,3
depletes,3,1,1,2
depth,3,4,3,4
description,3,4,2,3
detection,3,7,6,3
deteriorate,3,3,3,4
deterministic,3,3,3,3
developing,3,8,7,5
discharges,3,3,3,3
discovered,3,3,3,3
dispositions,3,2,3,3
distribution,3,2,2,3
distributions,3,2,2,3
dropping,3,0,0,2
droughts,3,3,3,3
economics,3,4,2,3
economy,3,3,3,3
electric,3,3,3,3
eliminate,3,2,3,4
eliminated,3,4,2,4
eliminating,3,3,0,3
enable,3,1,1,1
endeavour,3,4,0,3
enervest,3,3,0,3
engage,3,3,3,3
ernst,3,3,3,3
error,3,3,6,3
examining,3,2,2,2
exceeded,3,2,2,2
exceeding,3,3,1,2
exceeds,3,5,4,4
exchanged,3,1,1,1
execution,3,2,3,2
explore,3,3,3,3
exporting,3,4,2,2
express,3,2,2,2
fact,3,3,3,3
farm,3,3,4,3
faster,3,1,0,0
ferc,3,3,5,3
finally,3,2,2,2
findings,3,2,2,2
flooding,3,3,3,3
floods,3,3,3,3
fluid,3,3,2,3
fossil,3,2,2,2
fraud,3,3,6,3
frequently,3,3,3,3
geographic,3,2,2,3
goals,3,4,3,4
growing,3,1,0,1
grown,3,1,1,1
guidelines,3,4,4,3
handling,3,3,6,3
haynesville,3,0,0,0
heading,3,2,3,3
histories,3,3,3,3
hydrocarbon,3,3,3,3
identical,3,2,2,2
implementing,3,2,2,2
imposition,3,3,4,3
inadequate,3,3,3,3
indication,3,6,6,4
indirect,3,2,2,2
individually,3,4,4,5
inflows,3,3,3,3
initiated,3,2,1,2
injection,3,3,3,3
injury,3,3,3,3
instances,3,3,3,3
integrate,3,2,2,3
intent,3,4,5,4
interpretations,3,3,3,7
interruptions,3,3,3,3
intervals,3,6,5,4
inventories,3,3,3,3
invested,3,4,3,6
investigate,3,3,1,3
involve,3,3,3,3
involving,3,4,5,3
issuances,3,5,2,4
know,3,3,3,3
latest,3,3,3,3
lending,3,0,0,0
lessen,3,3,3,3
lesser,3,1,1,1
liens,3,2,3,2
light,3,6,1,11
like,3,3,2,2
limestone,3,0,0,2
limiting,3,6,6,3
liquefied,3,3,3,3
listing,3,3,3,3
lived,3,4,3,5
llpdenver,3,2,1,2
lost,3,0,0,0
lp,3,3,0,3
maintained,3,3,3,3
maintaining,3,5,9,5
matching,3,1,1,2
maximize,3,3,3,3
midland,3,38,61,2
minor,3,2,2,2
mississippian,3,0,0,2
misstatements,3,3,3,3
monitoring,3,2,2,2
movements,3,3,2,2
needs,3,2,4,3
negotiated,3,3,3,3
nepa,3,3,4,3
nonrecurring,3,2,2,3
notice,3,2,2,0
objectives,3,3,3,3
obsolete,3,3,3,3
obtained,3,2,2,3
obtaining,3,3,3,3
occasions,3,0,0,0
occupational,3,3,3,3
olmos,3,0,0,2
operates,3,3,3,3
organization,3,3,2,2
oxley,3,3,3,3
partial,3,7,4,3
particularly,3,2,2,3
passage,3,3,2,3
performing,3,1,3,2
person,3,3,3,3
planning,3,3,2,1
predecessor,3,0,0,0
predictable,3,1,2,2
prepaid,3,0,1,1
prepare,3,3,3,3
preserving,3,0,0,1
pressures,3,3,3,3
prevention,3,5,3,3
privately,3,3,3,3
probabilistic,3,3,3,3
probable,3,4,3,6
producibility,3,3,3,3
propane,3,3,3,4
properties75,3,0,0,0
properties84,3,0,0,0
propose,3,2,1,4
prospect,3,3,2,5
provider,3,11,4,6
pursell,3,3,3,3
ranges,3,4,3,4
ratios,3,4,4,3
read,3,3,3,3
reasons,3,5,3,5
recurring,3,3,4,4
recycle,3,3,3,3
redeterminations,3,3,1,4
refinance,3,4,3,4
refined,3,2,1,2
refining,3,3,3,3
reform,3,3,1,1
regard,3,4,7,4
regular,3,5,4,4
reimbursement,3,1,0,1
relate,3,1,1,1
relevant,3,1,2,2
reliable,3,3,3,3
remediate,3,3,4,3
removal,3,6,4,4
removed,3,4,4,4
representatives,3,6,1,2
repurchased,3,14,12,3
restriction,3,3,1,3
restrictive,3,3,3,3
restructure,3,2,2,2
retained,3,3,19,3
reviewed,3,3,3,3
revision,3,7,2,9
rich,3,1,1,1
routinely,3,3,3,3
sarbanes,3,3,3,3
satisfied,3,0,5,0
science,3,3,2,3
scientists,3,3,2,3
scrutiny,3,3,3,3
securing,3,3,4,3
sedimentary,3,3,3,3
segment,3,3,3,3
selection,3,3,3,3
separately,3,4,4,2
sequestration,3,2,2,2
seven,3,2,3,3
shelf,3,1,1,0
signed,3,2,2,2
simple,3,3,1,3
size,3,4,4,3
society,3,2,2,3
spe,3,3,2,3
spread,3,3,1,4
square,3,3,3,3
stage,3,3,3,3
stages,3,3,3,3
start,3,1,0,3
stated,3,3,2,3
stimulation,3,3,3,3
storms,3,3,3,3
stratigraphic,3,3,3,3
street,3,2,2,2
suspended,3,3,3,3
sustain,3,3,3,3
swapscontract,3,2,3,3
talented,3,1,1,1
targeting,3,1,2,1
targets,3,3,2,3
temporarily,3,3,1,4
terrorist,3,3,5,3
tests,3,0,0,0
thereon,3,3,3,3
thermal,3,3,4,3
tight,3,3,3,3
totals,3,2,0,2
trailing,3,6,0,3
transfer,3,2,6,2
trust,3,3,3,3
trusts,3,3,3,3
tsr,3,3,7,3
tulsa,3,8,2,11
turn,3,4,4,3
unconventional,3,3,3,3
unfunded,3,2,2,2
university,3,3,2,3
unresolved,3,3,3,3
unused,3,5,7,3
update,3,3,2,3
utilize,3,4,4,4
utilizing,3,2,2,4
variability,3,1,1,1
variations,3,2,2,3
vulnerable,3,3,3,3
wade,3,3,3,3
waters,3,3,4,3
way,3,3,2,3
wolfcamp,3,7,5,3
xiii,3,3,0,3
year267,3,0,0,1
year39,3,1,0,3
yes,3,3,5,3
young,3,3,4,3
1,2,4,3,3
2,2,8,16,5
6,2,2,0,1
8,2,2,3,0
9,2,18,17,5
14,2,0,0,1
18,2,0,0,0
19,2,0,0,2
49,2,1,1,0
63,2,1,0,0
67,2,1,2,2
69,2,2,0,3
75,2,2,1,2
79,2,1,1,2
82,2,2,0,2
83,2,1,2,1
101,2,3,2,1
108,2,7,5,9
111,2,9,16,2
124,2,5,5,6
131,2,1,6,1
137,2,6,1,2
142,2,0,5,3
145,2,7,3,7
147,2,3,7,1
154,2,6,7,2
155,2,0,2,2
160,2,2,15,4
162,2,3,4,6
163,2,2,4,2
164,2,3,1,1
168,2,4,3,3
174,2,1,1,2
183,2,2,5,1
190,2,1,3,2
191,2,3,5,2
197,2,4,5,4
198,2,0,0,0
201,2,2,6,2
202,2,8,2,8
203,2,2,0,2
207,2,0,0,2
215,2,1,0,1
222,2,0,1,3
224,2,1,1,0
225,2,0,1,1
226,2,4,4,5
232,2,3,1,3
239,2,2,0,3
241,2,3,6,1
246,2,1,2,3
251,2,0,1,0
255,2,1,1,0
256,2,3,1,5
265,2,1,2,1
269,2,2,1,4
271,2,0,1,2
274,2,1,2,2
275,2,7,1,4
276,2,6,3,5
278,2,2,8,3
279,2,1,0,3
284,2,2,0,1
287,2,2,5,1
288,2,2,0,3
290,2,0,1,2
291,2,1,1,0
295,2,2,1,2
300,2,4,1,4
310,2,1,0,3
311,2,0,0,0
312,2,3,2,2
314,2,3,0,2
316,2,2,1,3
323,2,1,1,0
328,2,2,5,1
329,2,4,5,1
331,2,1,2,1
332,2,0,0,2
335,2,1,2,1
336,2,0,1,0
337,2,3,7,2
343,2,3,1,2
348,2,2,0,3
354,2,11,8,1
358,2,0,1,1
359,2,2,1,2
360,2,0,0,2
363,2,4,1,2
369,2,5,3,6
374,2,0,0,1
376,2,0,1,2
379,2,1,2,1
385,2,0,0,1
389,2,0,4,0
394,2,4,7,4
399,2,1,1,2
402,2,5,2,4
409,2,1,2,2
413,2,1,2,3
421,2,0,0,1
423,2,2,2,2
424,2,1,0,1
431,2,1,0,2
432,2,0,2,3
443,2,0,3,1
448,2,5,7,0
462,2,0,0,1
469,2,1,0,2
474,2,2,1,0
477,2,0,0,1
482,2,2,1,1
484,2,0,1,0
486,2,2,2,2
499,2,7,3,6
515,2,4,7,3
517,2,0,0,2
528,2,1,1,3
540,2,3,1,1
545,2,3,1,3
559,2,2,2,2
564,2,0,0,0
575,2,5,5,2
580,2,2,4,2
581,2,0,1,2
586,2,0,0,1
587,2,2,3,2
589,2,2,0,4
591,2,3,0,3
593,2,1,3,3
598,2,1,0,1
602,2,0,1,1
603,2,0,1,2
607,2,3,5,4
619,2,3,1,2
620,2,1,0,3
623,2,0,2,0
624,2,2,1,2
631,2,0,0,0
637,2,1,4,0
650,2,0,5,0
651,2,0,1,1
652,2,0,0,0
654,2,1,6,0
657,2,1,3,1
662,2,1,1,2
664,2,1,0,1
665,2,0,7,1
668,2,1,0,2
675,2,1,2,1
677,2,1,0,1
679,2,3,1,3
681,2,3,1,1
684,2,0,0,0
690,2,1,2,2
699,2,2,4,2
722,2,9,3,8
740,2,3,5,4
749,2,1,0,2
750,2,4,4,2
754,2,4,1,2
758,2,5,1,5
760,2,0,0,1
766,2,3,1,0
767,2,5,5,5
771,2,1,1,1
779,2,0,0,0
783,2,3,1,4
784,2,3,2,5
786,2,3,1,4
796,2,4,5,4
797,2,1,0,3
810,2,1,0,2
811,2,0,0,0
812,2,0,1,1
813,2,0,1,0
816,2,1,0,2
829,2,0,1,8
852,2,3,3,5
856,2,1,0,0
857,2,0,1,1
865,2,2,2,2
866,2,0,0,0
869,2,1,0,1
885,2,0,3,1
897,2,3,1,2
903,2,2,0,3
908,2,3,3,4
925,2,1,2,1
937,2,2,6,1
942,2,0,0,1
945,2,1,0,0
946,2,2,1,2
953,2,0,2,3
966,2,2,3,2
978,2,6,6,6
982,2,0,0,1
987,2,1,0,1
988,2,1,0,4
991,2,4,2,2
1031,2,0,0,1
1200,2,2,2,2
1775,2,2,2,2
1998,2,2,1,2
2003,2,3,2,2
2005,2,1,1,1
2020,2,2,7,2
2024,2,0,0,1
2025,2,13,8,18
8140,2,2,2,2
80203,2,2,2,2
106438,2,2,0,2
2014668,2,0,0,0
2018102,2,0,0,0
12b,2,2,2,2
138basic,2,0,0,0
13a,2,2,2,2
15d,2,2,2,2
1a,2,3,3,2
1avg,2,0,0,0
1b,2,2,2,2
1net,2,1,1,0
1relative,2,0,0,0
2015william,2,0,0,0
2exploration,2,1,0,0
60drilling,2,0,0,0
72forfeited,2,0,0,0
7a,2,2,2,2
821total,2,0,0,1
85item,2,0,0,0
8net,2,1,0,0
923abandonment,2,0,0,0
9a,2,2,2,2
9b,2,2,2,2
9the,2,1,0,2
